"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 16 20:04:04 MSK 2026","Mon Mar 16 20:04:06 MSK 2026","2441","","ru.practikum.kristinabogatova.OrderTest","","ru.practikum.kristinabogatova.OrderTest","createOrderWithoutAuthAndIngredients","Создание заказа без авторизации, но с ингредиентами","Проверяю, что неавторизованный пользователь может создать заказ"
"passed","Mon Mar 16 20:03:54 MSK 2026","Mon Mar 16 20:03:56 MSK 2026","1868","","ru.practikum.kristinabogatova.OrderTest","","ru.practikum.kristinabogatova.OrderTest","createOrderWithoutAuthNoIngredients","Создание заказа без авторизации и без ингредиентов","Проверяю, что API возвращает ошибку при пустом списке ингредиентов и без авторизации"
"passed","Mon Mar 16 20:03:52 MSK 2026","Mon Mar 16 20:03:53 MSK 2026","564","","ru.practikum.kristinabogatova.CreateUserTest","","ru.practikum.kristinabogatova.CreateUserTest","createUniqueUser","Создание нового уникального пользователя","Проверяю, что API успешно создает пользователя с уникальными данными"
"passed","Mon Mar 16 20:03:50 MSK 2026","Mon Mar 16 20:03:52 MSK 2026","2128","","ru.practikum.kristinabogatova.LoginUserTest","","ru.practikum.kristinabogatova.LoginUserTest","loginExistingUser","Логин существующего пользователя","Проверяю, что существующий пользователь может войти успешно"
"passed","Mon Mar 16 20:04:06 MSK 2026","Mon Mar 16 20:04:08 MSK 2026","2023","","ru.practikum.kristinabogatova.OrderTest","","ru.practikum.kristinabogatova.OrderTest","createOrderWithAuthNoIngredients","Создание заказа без ингредиентов (с авторизацией)","Проверяю, что API возвращает ошибку при пустом списке ингредиентов"
"passed","Mon Mar 16 20:03:49 MSK 2026","Mon Mar 16 20:03:50 MSK 2026","498","","ru.practikum.kristinabogatova.LoginUserTest","","ru.practikum.kristinabogatova.LoginUserTest","loginWithWrongEmail","Логин с неверным email","Проверяю, что API возвращает 401 при неверном email"
"passed","Mon Mar 16 20:03:54 MSK 2026","Mon Mar 16 20:03:54 MSK 2026","512","","ru.practikum.kristinabogatova.CreateUserTest","","ru.practikum.kristinabogatova.CreateUserTest","createUserMissingField","Создание пользователя без обязательного поля","Проверяю, что API возвращает ошибку при отсутствии email"
"passed","Mon Mar 16 20:03:53 MSK 2026","Mon Mar 16 20:03:54 MSK 2026","934","","ru.practikum.kristinabogatova.CreateUserTest","","ru.practikum.kristinabogatova.CreateUserTest","createExistingUser","Создание пользователя уже зарегистрированного","Проверяю, что повторная регистрация возвращает ошибку"
"passed","Mon Mar 16 20:03:44 MSK 2026","Mon Mar 16 20:03:49 MSK 2026","5682","","ru.practikum.kristinabogatova.LoginUserTest","","ru.practikum.kristinabogatova.LoginUserTest","loginWithWrongPassword","Логин с неверным паролем","Проверяю, что API возвращает 401 при неверном пароле"
"passed","Mon Mar 16 20:03:56 MSK 2026","Mon Mar 16 20:03:58 MSK 2026","1933","","ru.practikum.kristinabogatova.OrderTest","","ru.practikum.kristinabogatova.OrderTest","createOrderWithInvalidHash","Создание заказа с неверным хешем ингредиентов","Проверяю, что API возвращает ошибку при неверном хеше (ожидается 400 или 500)"
"passed","Mon Mar 16 20:03:58 MSK 2026","Mon Mar 16 20:04:04 MSK 2026","5637","","ru.practikum.kristinabogatova.OrderTest","","ru.practikum.kristinabogatova.OrderTest","createOrderWithAuthAndIngredients","Создание заказа с авторизацией и ингредиентами","Проверяю, что авторизованный пользователь может создать заказ"
